ticket,empresa,peso
^BVSP,IBOVESPA,"100,000"
RRRP3.SA,3R PETROLEUM,"0,469"
ALPA4.SA,ALPARGATAS,"0,217"
ABEV3.SA,AMBEV S/A,"3,026"
AMER3.SA,AMERICANAS,"0,624"
ASAI3.SA,ASSAI,"0,622"
AZUL4.SA,AZUL,"0,334"
B3SA3.SA,B3,"3,612"
BIDI11.SA,BANCO INTER,"0,369"
BPAN4.SA,BANCO PAN,"0,136"
BBSE3.SA,BBSEGURIDADE,"0,835"
BRML3.SA,BR MALLS PAR,"0,336"
BBDC3.SA,BRADESCO,"1,230"
BBDC4.SA,BRADESCO,"5,091"
BRAP4.SA,BRADESPAR,"0,341"
BBAS3.SA,BRASIL,"2,587"
BRKM5.SA,BRASKEM,"0,551"
BRFS3.SA,BRF SA,"0,760"
BPAC11.SA,BTGP BANCO,"1,579"
CRFB3.SA,CARREFOUR BR,"0,396"
CCRO3.SA,CCR SA,"0,712"
CMIG4.SA,CEMIG,"0,826"
CIEL3.SA,CIELO,"0,225"
COGN3.SA,COGNA ON,"0,244"
CPLE6.SA,COPEL,"0,575"
CSAN3.SA,COSAN,"1,210"
CPFE3.SA,CPFL ENERGIA,"0,318"
CMIN3.SA,CSNMINERACAO,"0,254"
CVCB3.SA,CVC BRASIL,"0,126"
CYRE3.SA,CYRELA REALT,"0,200"
DXCO3.SA,DEXCO,"0,164"
ECOR3.SA,ECORODOVIAS,"0,120"
ELET3.SA,ELETROBRAS,"0,766"
ELET6.SA,ELETROBRAS,"0,502"
EMBR3.SA,EMBRAER,"0,446"
ENBR3.SA,ENERGIAS BR,"0,249"
ENGI11.SA,ENERGISA,"0,542"
ENEV3.SA,ENEVA,"0,945"
EGIE3.SA,ENGIE BRASIL,"0,547"
EQTL3.SA,EQUATORIAL,"1,285"
EZTC3.SA,EZTEC,"0,087"
FLRY3.SA,FLEURY,"0,227"
GGBR4.SA,GERDAU,"1,550"
GOAU4.SA,GERDAU MET,"0,411"
GOLL4.SA,GOL,"0,124"
NTCO3.SA,GRUPO NATURA,"0,693"
SOMA3.SA,GRUPO SOMA,"0,275"
HAPV3.SA,HAPVIDA,"1,529"
HYPE3.SA,HYPERA,"0,799"
IGTI11.SA,IGUATEMI S.A,"0,179"
IRBR3.SA,IRBBRASIL RE,"0,176"
ITSA4.SA,ITAUSA,"2,178"
ITUB4.SA,ITAUUNIBANCO,"6,048"
JBSS3.SA,JBS,"2,214"
JHSF3.SA,JHSF PART,"0,105"
KLBN11.SA,KLABIN S/A,"0,876"
RENT3.SA,LOCALIZA,"1,673"
LCAM3.SA,LOCAMERICA,"0,400"
LWSA3.SA,LOCAWEB,"0,141"
LREN3.SA,LOJAS RENNER,"1,247"
MGLU3.SA,MAGAZ LUIZA,"0,573"
MRFG3.SA,MARFRIG,"0,249"
CASH3.SA,MELIUZ,"0,052"
BEEF3.SA,MINERVA,"0,170"
MRVE3.SA,MRV,"0,149"
MULT3.SA,MULTIPLAN,"0,312"
PCAR3.SA,P.ACUCAR-CBD,"0,157"
PETR3.SA,PETROBRAS,"4,633"
PETR4.SA,PETROBRAS,"7,133"
PRIO3.SA,PETRORIO,"1,141"
PETZ3.SA,PETZ,"0,199"
POSI3.SA,POSITIVO TEC,"0,030"
QUAL3.SA,QUALICORP,"0,155"
RADL3.SA,RAIADROGASIL,"1,061"
RDOR3.SA,REDE D OR,"1,394"
RAIL3.SA,RUMO S.A.,"1,014"
SBSP3.SA,SABESP,"0,796"
SANB11.SA,SANTANDER BR,"0,588"
CSNA3.SA,SID NACIONAL,"0,675"
SLCE3.SA,SLC AGRICOLA,"0,254"
SULA11.SA,SUL AMERICA,"0,375"
SUZB3.SA,SUZANO S.A.,"1,884"
TAEE11.SA,TAESA,"0,429"
VIVT3.SA,TELEF BRASIL,"1,046"
TIMS3.SA,TIM,"0,560"
TOTS3.SA,TOTVS,"0,695"
UGPA3.SA,ULTRAPAR,"0,759"
USIM5.SA,USIMINAS,"0,286"
VALE3.SA,VALE,"15,437"
VIIA3.SA,VIA,"0,260"
VBBR3.SA,VIBRA,"1,112"
WEGE3.SA,WEG,"1,856"
YDUQ3.SA,YDUQS PART,"0,263"